"STATION","NAME","DATE","TMAX","TMIN"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-01","87","69"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-02","92","63"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-03","82","69"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-04","82","68"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-05","78","69"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-06","77","70"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-07","81","66"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-08","83","69"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-09","77","68"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-10","80","71"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-11","77","68"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-12","74","68"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-13","85","68"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-14","86","66"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-15","87","69"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-16","90","73"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-17","91","68"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-18","84","68"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-19","77","63"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-20","74","61"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-21","82","62"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-22","73","63"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-23","77","64"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-24","73","58"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-25","67","59"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-26","64","58"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-27","68","57"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-28","74","60"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-29","73","61"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-30","71","61"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-08-31","77","65"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-01","88","73"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-02","90","74"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-03","90","69"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-04","74","68"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-05","83","70"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-06","92","74"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-07","89","76"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-08","85","68"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-09","72","64"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-10","73","64"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-11","67","58"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-12","63","53"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-13","70","54"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-14","81","57"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-15","82","64"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-16","82","63"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-17","85","66"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-18","76","64"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-19","68","58"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-20","68","56"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-21","67","57"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-22","73","58"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-23","72","61"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-24","70","64"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-25","70","62"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-26","69","63"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-27","70","63"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-28","76","66"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-29","72","57"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-09-30","61","55"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-01","59","53"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-02","60","52"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-03","53","49"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-04","57","50"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-05","59","55"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-06","63","57"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-07","67","57"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-08","77","56"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-09","66","55"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-10","65","51"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-11","78","54"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-12","75","56"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-13","62","51"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-14","63","48"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-15","69","51"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-16","55","44"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-17","53","39"
